order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,69,2,469.25,15
2,1,127,2,764.69,15
3,1,38,1,1926.89,10
4,2,43,2,340.4,0
5,2,112,2,746.84,0
6,2,71,1,2754.81,10
7,2,108,1,545.2,15
8,3,124,1,817.25,20
9,4,93,2,850.64,0
10,4,65,2,879.88,5
11,5,127,1,764.69,20
12,5,51,1,1683.6,0
13,5,118,1,2774.38,10
14,5,28,1,2577.19,5
15,6,78,3,273.8,20
16,6,2,2,1537.56,0
17,6,102,2,536.91,0
18,6,86,1,1657.15,0
19,7,98,1,325.42,20
20,7,85,1,504.07,5
21,8,86,1,1657.15,10
22,9,35,1,2586.26,20
23,10,83,3,1832.08,0
24,11,52,1,565.24,0
25,12,81,2,180.71,10
26,13,102,1,536.91,0
27,13,82,3,1395.96,5
28,14,126,1,739.51,0
29,15,63,1,3329.97,10
30,15,84,1,327.18,5
31,16,72,1,1795.47,0
32,16,101,1,1820.6,15
33,17,30,1,2474.6,20
34,18,52,1,565.24,0
35,18,140,1,441.66,5
36,18,47,1,851.19,0
37,19,7,1,470.97,10
38,20,119,1,1173.65,10
39,21,54,2,2767.69,15
40,21,113,2,2616.32,15
41,22,18,1,1058.0,15
42,22,105,1,1305.35,5
43,22,128,1,194.9,10
44,22,36,1,2255.38,0
45,23,78,3,273.8,0
46,24,65,1,879.88,10
47,24,40,1,2254.62,20
48,25,109,1,1068.51,0
49,25,97,1,1195.83,5
50,25,19,2,1415.8,10
51,26,123,3,176.12,0
52,26,103,2,3176.8,5
53,27,130,2,341.79,0
54,27,108,1,545.2,5
55,27,140,2,441.66,0
56,27,10,1,622.91,5
57,28,138,1,913.69,0
58,28,22,3,3278.57,0
59,28,28,2,2577.19,5
60,28,64,1,2655.35,15
61,29,91,1,1358.41,0
62,29,43,3,340.4,0
63,30,12,3,1398.44,5
64,31,103,1,3176.8,15
65,31,85,1,504.07,0
66,32,28,1,2577.19,10
67,33,26,1,2314.09,15
68,33,67,1,2080.19,0
69,33,57,1,1226.9,0
70,34,133,1,122.64,20
71,35,57,3,1226.9,20
72,36,96,1,951.73,5
73,36,101,1,1820.6,10
74,36,119,1,1173.65,0
75,36,129,1,376.44,10
76,37,89,1,1980.93,0
77,38,124,3,817.25,10
78,38,27,1,2130.72,5
79,38,76,2,2749.33,5
80,38,107,1,2579.68,20
81,39,30,1,2474.6,10
82,39,37,1,1023.85,10
83,39,90,3,1414.48,0
84,40,88,1,900.15,10
85,40,117,2,3354.55,0
86,40,53,1,1566.62,10
87,41,124,2,817.25,0
88,41,90,1,1414.48,0
89,42,25,1,4013.7,0
90,42,113,1,2616.32,0
91,42,116,1,1388.9,0
92,43,18,1,1058.0,15
93,43,77,1,2061.02,5
94,44,30,1,2474.6,5
95,44,6,1,3922.85,10
96,45,28,1,2577.19,0
97,46,43,1,340.4,20
98,46,63,1,3329.97,0
99,46,133,1,122.64,0
100,46,45,1,2997.84,0
101,47,41,2,1593.36,0
102,47,85,1,504.07,0
103,48,110,2,1544.3,0
104,48,119,1,1173.65,0
105,49,104,1,404.29,5
106,49,48,3,1789.61,5
107,50,111,1,1360.54,0
108,51,8,2,863.12,0
109,52,51,1,1683.6,5
110,53,110,1,1544.3,0
111,53,100,1,1755.02,5
112,53,2,1,1537.56,5
113,53,55,1,1416.61,0
114,54,72,1,1795.47,0
115,55,17,1,1874.06,0
116,55,27,2,2130.72,5
117,55,138,1,913.69,0
118,55,48,1,1789.61,15
119,55,94,1,252.81,0
120,56,51,1,1683.6,15
121,56,118,1,2774.38,5
122,57,68,1,2282.01,10
123,58,126,1,739.51,0
124,58,136,1,361.66,20
125,58,81,1,180.71,10
126,59,100,2,1755.02,0
127,59,101,1,1820.6,10
128,60,30,3,2474.6,20
129,61,91,1,1358.41,10
130,61,118,1,2774.38,15
131,62,45,1,2997.84,0
132,63,77,1,2061.02,0
133,64,22,3,3278.57,15
134,64,35,1,2586.26,20
135,65,31,2,1817.44,15
136,65,62,2,2817.17,0
137,65,79,1,293.44,0
138,65,30,1,2474.6,10
139,66,96,1,951.73,15
140,66,37,3,1023.85,5
141,66,131,1,267.65,10
142,67,108,1,545.2,0
143,68,36,3,2255.38,0
144,68,99,1,227.72,5
145,69,48,1,1789.61,10
146,70,138,1,913.69,20
147,70,45,1,2997.84,10
148,71,43,1,340.4,0
149,72,74,2,283.28,5
150,72,36,1,2255.38,5
